,gw_euid,mvt,ts,node_euid,place,sub_type
4981,000D6F000C362FB5,18,2017-06-08 21:22:42,00158D00010AD2F0,17,20
266,000D6F000C362FB5,5,2017-06-08 21:22:47,00158D000113037E,87,3
439,000D6F000C362FB5,6,2017-06-08 21:22:51,00158D000113037E,87,3
265,000D6F000C362FB5,5,2017-06-08 21:24:07,00158D000113037E,87,3
438,000D6F000C362FB5,6,2017-06-08 21:24:13,00158D000113037E,87,3
4980,000D6F000C362FB5,18,2017-06-08 21:24:26,00158D0000E7C56E,29,20
4979,000D6F000C362FB5,18,2017-06-08 21:26:23,00158D0001599CC2,46,20
4978,000D6F000C362FB5,18,2017-06-08 21:33:27,00158D0000E7C56E,29,20
4977,000D6F000C362FB5,18,2017-06-08 21:36:09,00158D0001599CC2,46,20
4976,000D6F000C362FB5,18,2017-06-08 21:37:27,00158D0000E7C56E,29,20
4975,000D6F000C362FB5,18,2017-06-08 21:37:48,00158D0001599CC2,46,20
4974,000D6F000C362FB5,18,2017-06-08 21:56:05,00158D0000E7C56E,29,20
4973,000D6F000C362FB5,18,2017-06-08 22:05:21,00158D0001599CC2,46,20
4972,000D6F000C362FB5,18,2017-06-08 22:05:31,00158D0000E7C56E,29,20
4971,000D6F000C362FB5,18,2017-06-08 22:06:37,00158D0001599CC2,46,20
4970,000D6F000C362FB5,18,2017-06-08 22:06:56,00158D0000E7C56E,29,20
4969,000D6F000C362FB5,18,2017-06-08 22:09:15,00158D0001599CC2,46,20
4968,000D6F000C362FB5,18,2017-06-08 22:29:12,00158D0000E7C56E,29,20
4967,000D6F000C362FB5,18,2017-06-08 22:30:30,00158D0001599CC2,46,20
4966,000D6F000C362FB5,18,2017-06-08 22:30:39,00158D0000E7C56E,29,20
4965,000D6F000C362FB5,18,2017-06-08 22:33:27,00158D0001599CC2,46,20
4964,000D6F000C362FB5,18,2017-06-08 22:39:33,00158D0000E7C56E,29,20
4963,000D6F000C362FB5,18,2017-06-08 22:40:23,00158D00015A9894,4,20
4962,000D6F000C362FB5,18,2017-06-08 22:41:33,00158D0000E7C56E,29,20
4961,000D6F000C362FB5,18,2017-06-08 22:41:34,00158D00010AD2F0,17,20
4960,000D6F000C362FB5,18,2017-06-08 22:41:37,00158D0001599CC2,46,20
4959,000D6F000C362FB5,18,2017-06-08 22:42:53,00158D0000E7C56E,29,20
4958,000D6F000C362FB5,18,2017-06-08 22:55:32,00158D0001599CC2,46,20
4957,000D6F000C362FB5,18,2017-06-08 22:57:21,00158D0000E7C56E,29,20
4956,000D6F000C362FB5,18,2017-06-08 22:58:11,00158D00015A9894,4,20
4955,000D6F000C362FB5,18,2017-06-08 23:00:27,00158D0000E7C56E,29,20
4954,000D6F000C362FB5,18,2017-06-08 23:00:29,00158D0001599CC2,46,20
4953,000D6F000C362FB5,18,2017-06-08 23:01:46,00158D0000E7C56E,29,20
4952,000D6F000C362FB5,18,2017-06-08 23:05:12,00158D0001599CC2,46,20
4951,000D6F000C362FB5,18,2017-06-08 23:05:17,00158D0000E7C56E,29,20
4950,000D6F000C362FB5,18,2017-06-08 23:17:44,00158D0001599CC2,46,20
4949,000D6F000C362FB5,18,2017-06-08 23:25:30,00158D0000E7C56E,29,20
4948,000D6F000C362FB5,18,2017-06-08 23:28:25,00158D00015A992B,46,20
4947,000D6F000C362FB5,18,2017-06-08 23:30:37,00158D0000E7C56E,29,20
4946,000D6F000C362FB5,18,2017-06-08 23:32:01,00158D00015A992B,46,20
4945,000D6F000C362FB5,18,2017-06-08 23:32:06,00158D0000E7C56E,29,20
4944,000D6F000C362FB5,18,2017-06-08 23:34:06,00158D0001599CC2,46,20
4943,000D6F000C362FB5,18,2017-06-09 00:11:27,00158D0000E7C56E,29,20
